
[ 1509836130 sec, 518615 usec] TEMP :35.020000
[ 1509836131 sec, 519284 usec] TEMP :36.020000
[ 1509836132 sec, 520213 usec] TEMP :37.020000
[ 1509836133 sec, 520723 usec] TEMP :38.020000
[ 1509836134 sec, 521808 usec] TEMP :39.020000
[ 1509836135 sec, 522786 usec] TEMP :40.020000
[ 1509836136 sec, 523223 usec] TEMP :41.020000
[ 1509836137 sec, 524302 usec] TEMP :42.020000
[ 1509836138 sec, 524764 usec] TEMP :43.020000
[ 1509836139 sec, 525397 usec] TEMP :44.020000
[ 1509836140 sec, 525767 usec] TEMP :45.020000
[ 1509836141 sec, 526532 usec] TEMP :46.020000
[ 1509836142 sec, 526752 usec] TEMP :47.020000
[ 1509836143 sec, 527299 usec] TEMP :48.020000
